epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,1321.72,1.33239,1.23007,1.54072,0.8247,0.73763,0.82045,0.49984,1.13659,1.94483,1.29148,0.000938772,0.000938772,0.000938772
18,1398.21,1.32006,1.20464,1.52706,0.77208,0.75487,0.79818,0.47879,1.1449,2.12152,1.30929,0.000931067,0.000931067,0.000931067
19,1475.62,1.29065,1.17844,1.51033,0.82443,0.76687,0.82865,0.51277,1.10918,1.92153,1.27675,0.000922942,0.000922942,0.000922942
20,1553.18,1.28167,1.15782,1.5024,0.80885,0.77961,0.84053,0.50629,1.1655,1.94533,1.31304,0.000914405,0.000914405,0.000914405
21,1630.45,1.27124,1.12587,1.49019,0.82345,0.78561,0.84336,0.51523,1.1083,1.77571,1.28312,0.000905463,0.000905463,0.000905463
22,1708.23,1.2571,1.12255,1.48308,0.8061,0.77912,0.84465,0.53816,1.08077,1.32,1.26765,0.000896127,0.000896127,0.000896127
23,1785.8,1.24633,1.10544,1.47549,0.84544,0.78731,0.85854,0.53667,1.09957,1.43557,1.2545,0.000886404,0.000886404,0.000886404
24,1863.51,1.23266,1.09341,1.4628,0.84742,0.79685,0.86403,0.54046,1.1053,1.23422,1.26002,0.000876305,0.000876305,0.000876305
25,1941.16,1.22756,1.07423,1.45556,0.84721,0.79835,0.86717,0.54873,1.06291,1.80109,1.23145,0.000865839,0.000865839,0.000865839
26,2019.33,1.205,1.05334,1.43908,0.84983,0.80585,0.87072,0.56489,1.05384,1.05723,1.22962,0.000855018,0.000855018,0.000855018
27,2096.54,1.19124,1.03488,1.43414,0.84315,0.80998,0.86454,0.56105,1.03382,1.77576,1.19811,0.000843851,0.000843851,0.000843851
28,2173.81,1.18107,1.0232,1.4215,0.86635,0.8096,0.89029,0.57617,1.03258,1.39923,1.20349,0.000832349,0.000832349,0.000832349
29,2251.24,1.16945,0.99824,1.41258,0.85603,0.82456,0.87778,0.57537,1.02542,1.22411,1.20826,0.000820525,0.000820525,0.000820525
30,2328.53,1.158,0.99062,1.41223,0.86352,0.83658,0.88889,0.5762,1.04426,1.22629,1.20137,0.000808389,0.000808389,0.000808389
31,2406.22,1.15716,0.98192,1.40156,0.87716,0.82534,0.88862,0.58796,0.99478,1.35092,1.17591,0.000795954,0.000795954,0.000795954
32,2486.47,1.1403,0.96915,1.3888,0.89221,0.81285,0.88874,0.58435,1.00289,1.34059,1.19271,0.000783231,0.000783231,0.000783231
33,2565,1.12902,0.95549,1.37968,0.88242,0.83264,0.89178,0.60062,0.96273,1.05509,1.16201,0.000770234,0.000770234,0.000770234
34,2642.69,1.11916,0.9456,1.3807,0.89071,0.84108,0.89304,0.59997,0.98282,0.97634,1.17062,0.000756976,0.000756976,0.000756976
35,2720.08,1.10816,0.94053,1.36733,0.90881,0.82925,0.90383,0.60603,0.98225,1.09056,1.16327,0.000743468,0.000743468,0.000743468
36,2797.51,1.10844,0.92845,1.3662,0.87535,0.84708,0.8987,0.60645,0.96811,1.05328,1.16243,0.000729725,0.000729725,0.000729725
37,2874.79,1.08888,0.89773,1.356,0.88755,0.84633,0.90111,0.60429,0.97567,0.8992,1.19393,0.000715761,0.000715761,0.000715761
38,2952.36,1.0851,0.9032,1.34723,0.89102,0.85809,0.91397,0.61616,0.96897,1.00137,1.16422,0.000701588,0.000701588,0.000701588
39,3029.45,1.07621,0.89171,1.34072,0.89376,0.85157,0.91721,0.6207,0.96519,1.11122,1.17023,0.000687222,0.000687222,0.000687222
40,3107.22,1.06717,0.8862,1.34174,0.89706,0.84858,0.91311,0.62379,0.96029,0.90263,1.15268,0.000672675,0.000672675,0.000672675
41,3184.63,1.0571,0.87137,1.33059,0.89931,0.84933,0.91584,0.62624,0.94485,1.11263,1.14723,0.000657963,0.000657963,0.000657963
42,3260.66,1.05232,0.86695,1.32251,0.90345,0.85007,0.91526,0.63453,0.94011,1.15001,1.14563,0.000643101,0.000643101,0.000643101
43,3338.16,1.04212,0.8505,1.31904,0.90077,0.86421,0.91428,0.62817,0.94717,1.099,1.14151,0.000628101,0.000628101,0.000628101
44,3415.42,1.03193,0.8401,1.3152,0.89305,0.86807,0.91227,0.63504,0.94338,1.0162,1.14022,0.000612981,0.000612981,0.000612981
45,3492.91,1.02152,0.82925,1.30743,0.90955,0.85382,0.91911,0.64293,0.91599,0.93723,1.1307,0.000597754,0.000597754,0.000597754
46,3570.43,1.02631,0.81959,1.30509,0.91476,0.86507,0.92441,0.64436,0.92453,0.86349,1.13173,0.000582435,0.000582435,0.000582435
47,3647.8,1.01096,0.81312,1.29775,0.91798,0.87031,0.9286,0.65358,0.91617,0.92846,1.12543,0.00056704,0.00056704,0.00056704
48,3724.88,1.00598,0.8029,1.29525,0.91202,0.86261,0.92484,0.646,0.92747,1.09876,1.14219,0.000551584,0.000551584,0.000551584
49,3801.66,0.99472,0.78893,1.27892,0.91183,0.86882,0.92345,0.6535,0.88953,1.21075,1.11059,0.000536081,0.000536081,0.000536081
50,3878.97,0.988,0.79162,1.28433,0.9102,0.86622,0.92412,0.65266,0.90204,1.07011,1.13028,0.000520548,0.000520548,0.000520548
51,3955.58,0.97967,0.7759,1.27045,0.90303,0.87406,0.92579,0.65183,0.90795,1.26884,1.12671,0.000505,0.000505,0.000505
52,4033.01,0.97056,0.76033,1.26528,0.91472,0.86029,0.92713,0.65645,0.89967,1.02343,1.13054,0.000489452,0.000489452,0.000489452
53,4110.53,0.96205,0.76075,1.26245,0.91868,0.86882,0.9291,0.66611,0.88941,0.95714,1.12296,0.000473919,0.000473919,0.000473919
54,4188.15,0.96255,0.75475,1.25987,0.9128,0.8867,0.93799,0.66789,0.88902,0.84083,1.11978,0.000458416,0.000458416,0.000458416
55,4265.56,0.94992,0.73783,1.24819,0.92678,0.87406,0.939,0.67161,0.86927,0.86974,1.10225,0.00044296,0.00044296,0.00044296
56,4342.81,0.94457,0.73867,1.24707,0.91026,0.88963,0.93238,0.66641,0.87412,0.86127,1.10401,0.000427565,0.000427565,0.000427565
57,4419.68,0.93029,0.73201,1.23898,0.91757,0.88156,0.93485,0.66934,0.87476,0.80483,1.10827,0.000412246,0.000412246,0.000412246
58,4495.98,0.93064,0.72285,1.23927,0.91674,0.88316,0.93497,0.66786,0.88426,0.85935,1.1128,0.000397019,0.000397019,0.000397019
59,4572.77,0.92615,0.719,1.23278,0.92149,0.88866,0.93783,0.67275,0.86657,0.95522,1.09556,0.000381899,0.000381899,0.000381899
60,4653.26,0.9149,0.71294,1.22976,0.93305,0.87556,0.93792,0.67106,0.86469,0.98837,1.09606,0.000366899,0.000366899,0.000366899
61,4730.88,0.91229,0.71053,1.23059,0.92776,0.89532,0.94092,0.67637,0.86177,0.86299,1.09044,0.000352037,0.000352037,0.000352037
62,4811.77,0.9038,0.69935,1.2221,0.9292,0.88547,0.94135,0.67789,0.86372,0.86963,1.09373,0.000337325,0.000337325,0.000337325
63,4893.11,0.90174,0.69798,1.21566,0.90394,0.90295,0.94339,0.67822,0.86561,0.86108,1.09955,0.000322778,0.000322778,0.000322778
64,4985.76,0.89528,0.6923,1.21622,0.91178,0.8913,0.94189,0.68144,0.86308,0.83415,1.10146,0.000308412,0.000308412,0.000308412
65,5062.96,0.88591,0.68712,1.21155,0.91797,0.88926,0.9409,0.68159,0.86309,0.77783,1.09997,0.000294239,0.000294239,0.000294239
66,5139.76,0.88047,0.67553,1.20293,0.91946,0.8958,0.94266,0.68723,0.86017,0.77653,1.0977,0.000280275,0.000280275,0.000280275
67,5218.43,0.87484,0.6684,1.20244,0.92456,0.89355,0.94553,0.69147,0.8501,0.75132,1.09473,0.000266532,0.000266532,0.000266532
68,5295.8,0.8676,0.65742,1.1971,0.93241,0.89655,0.94422,0.6896,0.84831,0.76551,1.08943,0.000253024,0.000253024,0.000253024
69,5377.31,0.85078,0.64661,1.18964,0.93088,0.8988,0.9457,0.69039,0.85023,0.78924,1.09317,0.000239766,0.000239766,0.000239766
70,5454.57,0.8589,0.65564,1.19215,0.92615,0.8943,0.9447,0.69154,0.84699,0.816,1.08831,0.000226769,0.000226769,0.000226769
71,5531.95,0.85749,0.64832,1.19135,0.93499,0.89489,0.9454,0.69094,0.84171,0.86464,1.08144,0.000214046,0.000214046,0.000214046
72,5608.83,0.84211,0.63715,1.18114,0.93611,0.8943,0.9462,0.69409,0.83673,0.85874,1.0795,0.000201611,0.000201611,0.000201611
73,5685.99,0.84453,0.64518,1.18097,0.94371,0.89236,0.94604,0.69159,0.83972,0.83864,1.08211,0.000189475,0.000189475,0.000189475
74,5762.71,0.84396,0.63713,1.18205,0.9486,0.88546,0.94671,0.69102,0.84251,0.8151,1.08441,0.000177651,0.000177651,0.000177651
75,5839.84,0.82825,0.63205,1.17222,0.94297,0.89249,0.94743,0.69155,0.83959,0.78703,1.08186,0.000166149,0.000166149,0.000166149
76,5916.31,0.82293,0.62347,1.17138,0.94299,0.89274,0.94759,0.69328,0.84018,0.77728,1.08721,0.000154982,0.000154982,0.000154982
77,5993.38,0.82521,0.62402,1.17342,0.93579,0.8973,0.94788,0.69645,0.8368,0.7596,1.08683,0.000144161,0.000144161,0.000144161
78,6071,0.81987,0.61485,1.16644,0.94134,0.8913,0.94722,0.69704,0.8367,0.73987,1.08784,0.000133695,0.000133695,0.000133695
79,6148.6,0.81624,0.60899,1.15917,0.94361,0.89059,0.94757,0.69497,0.83967,0.71706,1.09009,0.000123596,0.000123596,0.000123596
80,6225.61,0.80912,0.61211,1.1586,0.94026,0.89505,0.94764,0.69531,0.84179,0.72305,1.09289,0.000113873,0.000113873,0.000113873
81,6303,0.81225,0.60943,1.16009,0.94017,0.89529,0.94793,0.69513,0.84368,0.71467,1.0936,0.000104537,0.000104537,0.000104537
82,6380.39,0.80587,0.60275,1.15661,0.94206,0.8988,0.94777,0.69607,0.84389,0.71367,1.09322,9.55951e-05,9.55951e-05,9.55951e-05
83,6457.68,0.80624,0.60061,1.15587,0.94399,0.89697,0.94822,0.69739,0.8428,0.71567,1.09058,8.70577e-05,8.70577e-05,8.70577e-05
84,6535.68,0.80038,0.59902,1.14947,0.93903,0.90061,0.94793,0.69818,0.8427,0.7129,1.0907,7.89327e-05,7.89327e-05,7.89327e-05
85,6613.73,0.80065,0.60036,1.15458,0.93624,0.90105,0.94806,0.69733,0.84126,0.71629,1.08948,7.12282e-05,7.12282e-05,7.12282e-05
86,6690.91,0.7955,0.60227,1.15165,0.93397,0.9012,0.94796,0.69737,0.84035,0.72182,1.08892,6.39518e-05,6.39518e-05,6.39518e-05
87,6768.44,0.786,0.58549,1.14366,0.93861,0.9003,0.94749,0.69733,0.83979,0.72666,1.08893,5.71106e-05,5.71106e-05,5.71106e-05
88,6849.32,0.78332,0.59043,1.14457,0.93254,0.90255,0.94807,0.69772,0.83947,0.72809,1.08961,5.07115e-05,5.07115e-05,5.07115e-05
89,6937.67,0.78857,0.58567,1.14594,0.93548,0.90405,0.94834,0.69877,0.83999,0.7237,1.09039,4.47606e-05,4.47606e-05,4.47606e-05
90,7026.1,0.79085,0.59664,1.14941,0.93541,0.90113,0.94849,0.6995,0.84059,0.721,1.09074,3.9264e-05,3.9264e-05,3.9264e-05
91,7108.68,0.6264,0.33564,1.0202,0.93534,0.90005,0.94765,0.69886,0.83879,0.73541,1.08976,3.4227e-05,3.4227e-05,3.4227e-05
92,7186.6,0.61346,0.32056,1.01313,0.93828,0.90026,0.94655,0.69717,0.83717,0.74664,1.08889,2.96546e-05,2.96546e-05,2.96546e-05
93,7263.84,0.60938,0.31153,1.01202,0.93608,0.90018,0.9465,0.69728,0.83554,0.75696,1.08856,2.55513e-05,2.55513e-05,2.55513e-05
94,7341.51,0.60543,0.31187,1.00983,0.93525,0.89866,0.94665,0.69911,0.83493,0.76472,1.08871,2.19212e-05,2.19212e-05,2.19212e-05
95,7418.99,0.60192,0.31099,1.00464,0.93997,0.89206,0.94656,0.6991,0.83418,0.772,1.08869,1.87678e-05,1.87678e-05,1.87678e-05
96,7496.65,0.59472,0.30652,1.00134,0.93999,0.89243,0.94663,0.69969,0.83359,0.77582,1.08887,1.60943e-05,1.60943e-05,1.60943e-05
97,7574.4,0.59226,0.30522,0.99887,0.93849,0.8928,0.94645,0.7001,0.83269,0.7805,1.08873,1.39032e-05,1.39032e-05,1.39032e-05
98,7652.12,0.59241,0.30629,1.00148,0.93992,0.89133,0.94697,0.70083,0.83261,0.7834,1.08887,1.21968e-05,1.21968e-05,1.21968e-05
99,7730.34,0.59251,0.30336,1.00085,0.93878,0.8913,0.94679,0.69987,0.83211,0.78597,1.08881,1.09768e-05,1.09768e-05,1.09768e-05
100,7807.81,0.58582,0.30159,1.00076,0.93696,0.8943,0.94709,0.70047,0.83171,0.78856,1.08883,1.02443e-05,1.02443e-05,1.02443e-05
